Data transakcji,Dane kontrahenta,Kwota transakcji (waluta rachunku)
2024-12-21, PUTKA MLYNARSKA 23  WARSZAWA  POL ,"-39,01"
2024-11-25, PUTKA MLYNARSKA 23  WARSZAWA  POL ,"-7,5"
2025-01-02, PUTKA MLYNARSKA 23  WARSZAWA  POL ,"-19,72"
2025-02-12, PUTKA MLYNARSKA 23  WARSZAWA  POL ,"-12,83"
2024-12-09, PUTKA MLYNARSKA 23  WARSZAWA  POL ,"-1,99"
2024-11-19, PUTKA MLYNARSKA 23  WARSZAWA  POL ,"-6,15"
2025-01-03, PUTKA MLYNARSKA 23  WARSZAWA  POL ,"-14,42"
2025-01-23, PUTKA MLYNARSKA 23  WARSZAWA  POL ,"-6,96"
2024-12-14, PUTKA MLYNARSKA 23  WARSZAWA  POL ,"-20,7"
2025-01-10, PUTKA MLYNARSKA 23  WARSZAWA  POL ,"-11,25"
2024-12-16, PUTKA MLYNARSKA 23  WARSZAWA  POL ,"-9,15"
2025-01-04, PUTKA MLYNARSKA 23  WARSZAWA  POL ,"-18,05"
2024-12-09, PUTKA MLYNARSKA 23  WARSZAWA  POL ,"-17,22"
2024-12-11, PUTKA MLYNARSKA 23  WARSZAWA  POL ,"-11,19"
2024-11-18, PUTKA MLYNARSKA 23  WARSZAWA  POL ,"-6,15"
2024-11-23, PUTKA MLYNARSKA 23  WARSZAWA  POL ,"-13,35"
2025-01-29, PUTKA MLYNARSKA 23  WARSZAWA  POL ,"-13,43"
2024-11-27, PUTKA MLYNARSKA 23  WARSZAWA  POL ,"-3,98"
2025-01-20, PUTKA MLYNARSKA 23  WARSZAWA  POL ,"-3,78"
2024-12-18, PUTKA MLYNARSKA 23  WARSZAWA  POL ,"-18,05"
2024-12-17, PUTKA MLYNARSKA 23  WARSZAWA  POL ,"-37,3"
2024-12-28, REVOLUT BANK UAB ,900
2024-11-23, ROSSMANN 111  WARSZAWA  POL ,"-4,99"
2024-12-04, ROSSMANN 56  WARSZAWA  POL ,"-28,98"
2024-11-20, ROSSMANN 85  WARSZAWA  POL ,"-133,97"
2025-02-05, ROSSMANN 85  WARSZAWA  POL ,"-89,99"
2025-01-08, ROSSMANN 85  WARSZAWA  POL ,"-163,72"
2025-01-14, ROSSMANN 85  WARSZAWA  POL ,"-29,99"
2024-12-17, ROSSMANN 85  WARSZAWA  POL ,"-116,61"
2025-02-13, ROSSMANN 85  WARSZAWA  POL ,"-12,57"
2024-11-26, ROSSMANN 85  WARSZAWA  POL ,"-12,49"
2025-01-02, SKLEP U BRODY  WARSZAWA  POL ,-14
2025-01-07, SKŁ PZU-UBEZP KARTY DEB ,-2
2024-12-05, SKŁ PZU-UBEZP KARTY DEB ,-2
2025-02-05, SKŁ PZU-UBEZP KARTY DEB ,-2
2024-12-06, SPRZEDAZ ART. PRZEMYSLO  WARSZAWA ,"-4,5"
2024-12-11, STP*V*THELIVEN COM        TALLINN ,"-2,57"
2025-01-15, STP*V*THELIVEN COM        TALLINN ,"-6,4"
2025-01-21, STP*V*THELIVEN COM        TALLINN NR KARTY 4246XX8894 ,"106,26"
2025-01-08, STP*V*THELIVEN COM  TALLINN  EST ,"-213,35"
2024-12-09, STP*V*THELIVEN COM  TALLINN  EST ,"-85,55"
2024-12-09, SUPER PHARM WARSZAW  WARSZAWA  POL ,"-37,99"
2024-12-02, SUPER PHARM WARSZAW  WARSZAWA  POL ,"-131,98"
2024-12-02, SYRENA IRENA  WARSZAWA  POL ,-7
2025-01-10, TK MAXX  WARSAW WSJ  POL ,"-54,98"
2025-01-02, TOMASZ GARSTECKI KASPROWICZA 6/1 87-100    TORUŃ KUJAWSKO POMORSKIE ,2000
2025-01-23, TOMASZ GARSTECKI KASPROWICZA 6/1 87-100    TORUŃ KUJAWSKO POMORSKIE ,1390
2024-12-30, TOMASZ GARSTECKI KASPROWICZA 6/1 87-100    TORUŃ KUJAWSKO POMORSKIE ,820
2025-02-04, TOMASZ GARSTECKI KASPROWICZA 6/1 87-100    TORUŃ KUJAWSKO POMORSKIE ,2000
2024-12-03, TOMASZ GARSTECKI KASPROWICZA 6/1 87-100    TORUŃ KUJAWSKO POMORSKIE ,4075
2025-02-12, TRIMAR SP. Z O.O  WARSZAWA  POL ,"-15,8"
2024-12-06, TRZY KRUKI  WARSZAWA  POL ,-19
2025-01-28, TRZY KRUKI  WARSZAWA  POL ,-26
2025-01-07, UBER   *TRIP  AMSTERDAM  NLD ,-2
2024-11-26, UBER RIDES                AMSTERDAM ,"-21,49"
2024-11-19, UBR* PENDING.UBER.COM  AMSTERDAM  N ,"-17,91"
2025-01-18, UBR* PENDING.UBER.COM  AMSTERDAM  N ,"-14,93"
2025-01-07, UBR* PENDING.UBER.COM  AMSTERDAM  N ,"-11,98"
2024-11-24, UBR* PENDING.UBER.COM  AMSTERDAM  N ,"-20,96"
2024-11-26, UBR* PENDING.UBER.COM  AMSTERDAM  N ,"-13,99"
2025-01-04, UBR* PENDING.UBER.COM  AMSTERDAM  N ,"-18,28"
2025-02-11, UBR* PENDING.UBER.COM  AMSTERDAM  N ,"-13,44"
2025-01-09, UBR* PENDING.UBER.COM  AMSTERDAM  N ,"-15,32"
2025-01-07, UBR* PENDING.UBER.COM  AMSTERDAM  N ,"-9,94"
2025-01-09, UBR* PENDING.UBER.COM  AMSTERDAM  N ,"-14,01"
2025-02-06, UBR* PENDING.UBER.COM  AMSTERDAM  N ,"-12,95"
2025-02-11, UBR* PENDING.UBER.COM  AMSTERDAM  N ,"-15,14"
2025-01-09, UBR* PENDING.UBER.COM  AMSTERDAM  N 2208162520 4121 40010030273 4117 ,"14,01"
2024-11-26, UBR* PENDING.UBER.COM  AMSTERDAM  N 2208162520 4121 40010030273 4117 ,"13,99"
2025-02-11, UBR* PENDING.UBER.COM  AMSTERDAM  N 2208162520 4121 40010030273 4117 ,"15,14"
2025-02-05, VILGAIN.PL/  BRNO 60200 CZE ,"-345,79"
2025-02-03, VISION EXPRESS TRENDY 460  WARSZAWA ,-18
2024-12-13, VITA HOME SP.Z O.O.  WARSZAWA  POL ,-37
2024-12-07, WGS ALEKSANDRA LOGUSZ  OZAROW MAZOW ,-20
2025-01-24, WOLSKIE RURKI  WARSZAWA 01187 POL ,-11
2025-01-30, WOLT  WARSZAWA  POL ,"-88,28"
2024-12-20, WRZENIE SWIATA  WARSZAWA  POL ,-39
2024-12-22, ZABKA Z2949 K.1  WARSZAWA 01181 POL ,"-17,06"
2024-12-08, ZABKA Z2949 K.1  WARSZAWA 01181 POL ,"-7,99"
2024-11-23, ZABKA Z2949 K.1  WARSZAWA 01181 POL ,"-33,95"
2024-11-21, ZABKA Z2949 K.1  WARSZAWA 01181 POL ,"-66,99"
2024-12-06, ZABKA Z2949 K.1  WARSZAWA 01181 POL ,"-17,99"
2024-12-30, ZABKA Z2949 K.1  WARSZAWA 01181 POL ,"-17,99"
2025-01-16, ZABKA Z2949 K.1  WARSZAWA 01181 POL ,"-17,99"
2025-01-08, ZABKA Z2949 K.1  WARSZAWA 01181 POL ,"-7,99"
2025-01-01, ZABKA Z2949 K.1  WARSZAWA 01181 POL ,"-9,5"
2024-12-15, ZABKA Z2949 K.1  WARSZAWA 01181 POL ,"-15,15"
2024-12-09, ZABKA Z2949 K.1  WARSZAWA 01181 POL ,"-41,81"
2025-01-06, ZABKA Z2949 K.1  WARSZAWA 01181 POL ,"-28,53"
2024-12-15, ZABKA Z2949 K.1  WARSZAWA 01181 POL ,"-23,28"
2024-12-01, ZABKA Z2949 K.1  WARSZAWA 01181 POL ,"-42,65"
2024-11-26, ZABKA Z2949 K.1  WARSZAWA 01181 POL ,"-22,49"
2024-11-19, ZABKA Z2949 K.1  WARSZAWA 01181 POL ,"-10,8"
2025-01-10, ZABKA Z2949 K.1  WARSZAWA 01181 POL ,"-7,99"
2024-11-29, ZABKA Z2949 K.1  WARSZAWA 01181 POL ,"-20,98"
2024-12-02, ZABKA Z2949 K.1  WARSZAWA 01181 POL ,"-28,99"
2025-01-29, ZABKA Z2949 K.1  WARSZAWA 01181 POL ,"-28,99"
2024-12-09, ZABKA Z2949 K.2  WARSZAWA 01181 POL ,"-7,99"
2025-01-26, ZABKA Z2949 K.2  WARSZAWA 01181 POL ,"-19,65"
2025-02-14, ZABKA Z3276 K.1  WARSZAWA 03476 POL ,"-18,49"
